Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_50_845.jpg;0;1;0;0.4903544;100.131;86.10817;1.15334;28.56495;6.367239E-05
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_50_918.jpg;0;1;0;0.5706841;100.1636;86.12579;1.228826;28.59969;-0.001267025
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_50_991.jpg;0;1;0;0.6011403;100.2093;86.15052;1.231215;28.65169;-0.0007026044
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_51_065.jpg;0;1;0;0.6786776;100.2587;86.17732;1.187586;28.66002;-0.0007200993
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_51_138.jpg;0;1;0;0.7460626;100.2999;86.19964;1.198056;28.63255;-0.0001748484
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_51_209.jpg;0;1;0;0.7920533;100.3589;86.23167;1.210588;28.69363;-0.001273261
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_51_283.jpg;0;1;0;0.8660157;100.4229;86.26644;1.224862;28.69693;-0.0008562104
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_51_351.jpg;0;1;0;0.9356911;100.4737;86.29399;1.220984;28.69099;-0.0008272277
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_51_425.jpg;0;1;0;0.9780988;100.5454;86.33284;1.212487;28.70134;-0.0008768617
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_51_496.jpg;0;1;0;1.043183;100.602;86.36355;1.216158;28.77666;-0.001496842
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_51_569.jpg;0;1;0;1.088022;100.6815;86.40676;1.223437;28.79288;-0.0007775381
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_51_638.jpg;0;1;0;1.152279;100.7438;86.44068;1.224081;28.75777;-0.0007203223
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_51_711.jpg;0;1;0;1.196622;100.8309;86.48808;1.23388;28.71886;-0.0007984635
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_51_783.jpg;0;1;0;1.260595;100.9224;86.53776;1.235137;28.69224;-0.0007630773
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_51_854.jpg;0;1;0;1.324511;100.994;86.5766;1.237937;28.67024;-0.0008210416
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_51_928.jpg;0;1;0;1.37174;101.0935;86.63049;1.246238;28.64508;-0.0008453825
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_51_996.jpg;0;0.7805716;0;1.435784;101.1705;86.67218;1.24348;28.63101;-0.0009015839
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_52_067.jpg;0;0.9871624;0;1.472278;101.2769;86.72974;1.253609;28.61927;-0.0009463679
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_52_137.jpg;0;1;0;1.531786;101.3595;86.77437;1.25538;28.60841;-0.000953307
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_52_211.jpg;0;1;0;1.578334;101.4735;86.83593;1.260895;28.59315;-0.0009910978
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_52_283.jpg;0;1;0;1.640075;101.5918;86.89982;1.266403;28.57836;-0.001012342
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_52_352.jpg;0;1;0;1.701567;101.6835;86.94926;1.273452;28.56715;-0.001046878
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_52_425.jpg;0;1;0;1.747386;101.8093;87.01714;1.276574;28.55273;-0.001061451
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_52_496.jpg;0;0.7820701;0;1.808417;101.9062;87.06932;1.273764;28.54248;-0.001028945
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_52_568.jpg;0;0.5673663;0;1.844453;102.0375;87.14005;1.268298;28.53019;-0.0005233313
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_52_636.jpg;0;0.35692;0;1.876132;102.1368;87.19353;1.250405;28.51862;-0.0004732634
